"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-057","T-208","Legitimate glucose publish","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Legitimate glucose publish can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Legitimate glucose publish, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-001","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-058","T-218","Forged-reading injection","Data flow","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Forged-reading injection can be altered without detection","Dose, rate, duration, energy or programme values passing through Forged-reading injection can be modified — in transit, at rest, or by malformed input the code accepts — and neither the device nor the clinician can tell the value is not the one that was prescribed.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-059","T-219","Forged-reading injection","Data flow","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Forged-reading injection removes control of therapy","Flooding, resource exhaustion or an unavailable dependency stops Forged-reading injection responding. Therapy cannot be started, adjusted or — the case people forget — stopped, and the clinician may not be told that control has been lost.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-060","T-220","Forged-reading injection","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Forged-reading injection can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Forged-reading injection. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-061","T-221","Forged-reading injection","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Forged-reading injection can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Forged-reading injection, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-062","T-222","Forged-reading injection","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Forged-reading injection can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Forged-reading injection, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-063","T-223","Forged-reading injection","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Forged-reading injection may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Forged-reading injection unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-064","T-227","Bedside display feed","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bedside display feed can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Bedside display feed. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-065","T-228","Bedside display feed","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bedside display feed can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Bedside display feed, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-066","T-229","Bedside display feed","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Bedside display feed can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Bedside display feed, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-067","T-230","Bedside display feed","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Bedside display feed may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Bedside display feed unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-068","T-237","BLE advertisement (RF)","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at BLE advertisement (RF) can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through BLE advertisement (RF), or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-007","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-069","T-238","BLE advertisement (RF)","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from BLE advertisement (RF) may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes BLE advertisement (RF) unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-007","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-070","T-275","Touch input / rendered display","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Touch input / rendered display can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Touch input / rendered display. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-071","T-276","Touch input / rendered display","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Touch input / rendered display can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Touch input / rendered display, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-072","T-277","Touch input / rendered display","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Touch input / rendered display can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Touch input / rendered display, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-073","T-278","Touch input / rendered display","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Touch input / rendered display may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Touch input / rendered display unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-074","T-286","Bedside annunciation","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bedside annunciation can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Bedside annunciation. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-075","T-287","Bedside annunciation","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bedside annunciation can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Bedside annunciation, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-076","T-288","Bedside annunciation","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Bedside annunciation can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Bedside annunciation, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-077","T-289","Bedside annunciation","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Bedside annunciation may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Bedside annunciation unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-078","T-293","Paired HID input","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Paired HID input can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Paired HID input. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-079","T-294","Paired HID input","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Paired HID input can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Paired HID input, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-080","T-295","Paired HID input","Data flow","Needed for timely care delivery","D","Denial of service","Loss of Paired HID input delays or prevents care","Paired HID input is on the path for delivering care. A denial-of-service, ransomware event or dependency outage removes it, and the clinical workflow it supports stops.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Serious — injury needing professional intervention","Class B — non-serious injury possible","HIGH","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
